,CustomerID,First_Name,Last_Name,Phone_Number,Address,Paying Customer,Do_Not_Contact,Street_Address,State,Zip_code,Do_Not_Contactr
0,1001,Frodo,Baggins,123-545-5421,"123 Shire Lane, Shire",Y,N,123 Shire Lane, Shire,,N
1,1005,Jon,Snow,876-678-3469,123 Dragons Road,Y,N,123 Dragons Road,,,N
2,1008,Sherlock,Holmes,876-678-3469,98 Clue Drive,N,N,98 Clue Drive,,,N
3,1010,Peter,Parker,123-545-5421,"25th Main Street, New York",Y,N,25th Main Street, New York,,N
4,1013,Don,Draper,123-543-2345,2039 Main Street,Y,N,2039 Main Street,,,N
5,1014,Leslie,Knope,876-678-3469,343 City Parkway,Y,N,343 City Parkway,,,N
6,1015,Toby,Flenderson,304-762-2467,214 HR Avenue,N,N,214 HR Avenue,,,N
7,1016,Ron,Weasley,123-545-5421,2395 Hogwarts Avenue,N,N,2395 Hogwarts Avenue,,,N
8,1017,Michael ,Scott,123-643-9775,"121 Paper Avenue, Pennsylvania",Y,N,121 Paper Avenue, Pennsylvania,,N
9,1020,Anakin,Skywalker,876-678-3469,"910 Tatooine Road, Tatooine",Y,N,910 Tatooine Road, Tatooine,,N
